date,open,high,low,close,volume
2006-03-15,31.3468,31.6168,31.1668,31.5268,1855900.0
2006-03-16,31.7068,32.6268,31.4768,31.5868,1018200.0
2006-03-17,31.5468,31.7668,31.4968,31.6868,1007100.0
2006-03-20,31.7668,31.8768,31.6168,31.7268,978100.0
2006-03-21,31.7468,31.9768,31.2968,31.3568,1131700.0
2006-03-22,31.3268,31.6868,31.2568,31.6668,443000.0
2006-03-23,31.6468,31.6468,31.2968,31.5468,787500.0
2006-03-24,31.4268,31.5968,31.2168,31.4068,536300.0
2006-03-27,31.3768,31.4768,31.2368,31.3568,1281800.0
2006-03-28,31.3568,31.5368,30.9268,31.0868,3752900.0
2006-03-29,31.0768,31.6568,31.0768,31.5368,511800.0
2006-03-30,31.4068,31.8668,31.3368,31.4968,1747300.0
2006-03-31,31.6768,31.7168,31.2868,31.5168,889300.0
2006-04-03,31.6968,31.7968,31.2768,31.3768,384300.0
2006-04-04,31.2868,31.6468,31.1868,31.5168,392400.0
2006-04-05,31.5868,31.8268,31.4968,31.7268,990400.0
2006-04-06,31.6768,31.8868,31.4568,31.6968,448500.0
2006-04-07,31.9168,32.0168,31.2068,31.2868,352000.0
2006-04-10,31.3768,31.3768,31.0668,31.1668,362300.0
2006-04-11,31.3768,31.3968,30.6268,30.7768,914000.0
2006-04-12,30.9468,31.0068,30.8068,30.9468,845100.0
2006-04-13,30.8168,31.1068,30.7168,30.8368,1045100.0
2006-04-17,30.9168,31.0468,30.4468,30.7568,838400.0
2006-04-18,30.9068,31.4968,30.7968,31.4368,856600.0
2006-04-19,31.5768,31.6668,31.2768,31.6368,837000.0
2006-04-20,31.7068,31.9668,31.5068,31.7568,1365000.0
2006-04-21,31.9768,32.0168,31.3468,31.6368,1248600.0
2006-04-24,31.4168,31.5968,31.0068,31.4968,774500.0
2006-04-25,31.5368,31.5568,31.1068,31.2568,753300.0
2006-04-26,31.4168,31.5968,31.2268,31.3568,556900.0
2006-04-27,31.1168,31.7468,30.9568,31.5068,867700.0
2006-04-28,31.3068,31.5468,31.1868,31.3768,714200.0
2006-05-01,31.4668,31.5168,30.9668,31.0168,1179800.0
2006-05-02,30.4768,31.3268,30.4768,31.1268,903100.0
2006-05-03,31.1268,31.2168,30.8268,31.0268,608400.0
2006-05-04,31.1768,31.3368,31.1368,31.2768,958700.0
2006-05-05,31.4468,31.8268,31.4468,31.6268,2696100.0
2006-05-08,31.6768,31.8968,31.6768,31.7768,1773300.0
2006-05-09,31.8568,31.8568,31.6668,31.7768,486700.0
2006-05-10,31.7468,31.7568,31.4268,31.5868,565000.0
2006-05-11,31.6068,31.6068,30.7568,30.9368,600400.0
2006-05-12,30.6868,30.8468,30.3168,30.3268,718700.0
2006-05-15,30.2168,30.5768,30.0568,30.5268,1144700.0
2006-05-16,30.6268,30.6468,30.2968,30.3068,373900.0
2006-05-17,30.0568,30.2968,29.4668,29.5268,657900.0
2006-05-18,29.7468,29.8568,29.2168,29.2168,1123600.0
2006-05-19,29.5768,29.5968,28.9968,29.4168,1115500.0
2006-05-22,29.1868,29.4168,28.8068,29.0668,1439100.0
2006-05-23,29.4768,29.6268,28.6768,28.6768,1094800.0
2006-05-24,28.8768,29.2468,28.4168,29.1068,1099200.0
2006-05-25,29.3768,29.6268,29.1768,29.6268,473300.0
2006-05-26,29.9068,29.9468,29.6268,29.9068,539800.0
2006-05-30,29.6068,29.6768,29.0168,29.0168,505200.0
2006-05-31,29.1268,29.5268,29.1268,29.4368,1179300.0
2006-06-01,29.5268,30.1468,29.4368,30.0668,1629500.0
2006-06-02,30.2568,30.3768,29.8568,30.0968,432800.0
2006-06-05,29.8968,29.9968,29.1268,29.2068,695900.0
2006-06-06,29.4368,29.4468,28.7068,29.0468,730400.0
2006-06-07,29.0768,29.4668,28.7268,28.7268,668600.0
2006-06-08,28.5368,28.9468,27.8868,28.5868,2551500.0
2006-06-09,28.7668,29.1068,28.5368,28.5868,1525400.0
2006-06-12,28.7568,28.7768,27.8168,27.8168,625600.0
2006-06-13,27.6768,28.2468,27.4768,27.4968,1573100.0
2006-06-14,27.4968,27.9768,27.4868,27.9168,1315700.0
2006-06-15,28.1768,29.0968,28.1268,28.9168,2065800.0
2006-06-16,28.8268,29.0068,28.5968,28.7568,1363600.0
2006-06-19,28.9768,28.9868,28.2168,28.3368,721400.0
2006-06-20,28.3168,28.6768,28.2468,28.3568,538200.0
2006-06-21,28.3768,29.1268,28.3768,28.9168,1053600.0
2006-06-22,28.6568,28.7368,28.2468,28.3968,474100.0
2006-06-23,28.2368,28.7768,28.2368,28.4568,502700.0
2006-06-26,28.4368,28.5568,28.2768,28.4768,810500.0
2006-06-27,28.5568,28.5868,27.8968,27.9068,2435300.0
2006-06-28,28.0568,28.2068,27.7868,28.1468,1282700.0
2006-06-29,28.4668,29.2768,28.3668,29.2268,625000.0
2006-06-30,29.3368,29.4268,29.0868,29.2268,1162100.0
2006-07-03,29.3768,29.4868,29.1868,29.4868,180800.0
2006-07-05,29.0968,29.2168,28.7268,28.9868,524000.0
2006-07-06,28.9968,29.2668,28.8768,28.9968,651700.0
2006-07-07,28.8668,28.9768,28.4168,28.5068,632000.0
2006-07-10,28.8268,28.8468,28.3068,28.4568,575600.0
2006-07-11,28.4668,28.7568,28.1168,28.6668,547500.0
