date,close
2015-04-10,1896.1
2015-04-13,1950.22
2015-04-14,1971.9
2015-04-15,1922.87
2015-04-16,1971.6
2015-04-17,2020.34
2015-04-20,2014.28
2015-04-21,2071.0
2015-04-22,2130.95
2015-04-23,2160.47
2015-04-24,2136.38
2015-04-27,2203.89
2015-04-28,2169.03
2015-04-29,2163.93
2015-04-30,2165.67
2015-05-04,2261.1
2015-05-05,2135.02
2015-05-06,2074.33
2015-05-07,1993.94
2015-05-08,2047.77
2015-05-11,2115.59
2015-05-12,2151.07
2015-05-13,2140.05
2015-05-14,2134.4
2015-05-15,2079.84
2015-05-18,2062.17
2015-05-19,2131.65
2015-05-20,2148.38
2015-05-21,2204.09
2015-05-22,2262.61
2015-05-25,2330.14
2015-05-26,2372.84
2015-05-27,2385.73
2015-05-28,2232.18
2015-05-29,2226.45
2015-06-01,2355.36
2015-06-02,2409.81
2015-06-03,2403.64
2015-06-04,2411.66
2015-06-05,2477.61
2015-06-08,2526.03
2015-06-09,2556.62
2015-06-10,2541.44
2015-06-11,2547.85
2015-06-12,2599.68
2015-06-15,2580.74
2015-06-16,2490.06
2015-06-17,2562.6
2015-06-18,2505.94
2015-06-19,2360.3
2015-06-23,2454.51
2015-06-24,2555.04
2015-06-25,2493.42
2015-06-26,2320.75
2015-06-29,2314.57
2015-06-30,2431.27
2015-07-01,2312.45
2015-07-02,2193.52
2015-07-03,2057.31
2015-07-06,2084.93
2015-07-07,2040.24
2015-07-08,1919.68
2015-07-09,2058.07
2015-07-10,2199.61
2015-07-13,2284.11
2015-07-14,2193.85
2015-07-15,2097.21
2015-07-16,2125.19
2015-07-17,2195.22
2015-07-20,2181.74
2015-07-21,2204.52
2015-07-22,2200.9
2015-07-23,2246.46
2015-07-24,2211.11
2015-07-27,2042.17
2015-07-28,2041.91
2015-07-29,2112.1
2015-07-30,2040.58
2015-07-31,2039.38
2015-08-03,2059.14
2015-08-04,2118.51
2015-08-05,2081.84
2015-08-06,2060.29
2015-08-07,2095.89
2015-08-10,2197.3
2015-08-11,2192.91
2015-08-12,2178.13
2015-08-13,2211.54
2015-08-14,2204.34
2015-08-17,2228.14
2015-08-18,2069.41
2015-08-19,2109.77
2015-08-20,2045.2
2015-08-21,1956.74
2015-08-24,1794.21
2015-08-25,1674.98
2015-08-26,1657.28
2015-08-27,1722.94
2015-08-28,1811.03
2015-08-31,1804.46
2015-09-01,1787.03
2015-09-02,1801.77
2015-09-07,1745.41
2015-09-08,1781.45
2015-09-09,1812.98
2015-09-10,1779.3
2015-09-11,1770.25
2015-09-14,1713.62
2015-09-15,1637.94
2015-09-16,1737.87
2015-09-17,1687.25
2015-09-18,1690.21
2015-09-21,1717.68
2015-09-22,1730.57
2015-09-23,1683.15
2015-09-24,1694.65
2015-09-25,1656.75
2015-09-28,1665.21
