date,close
2018-10-19,163.38
2018-10-22,163.43
2018-10-23,163.44
2018-10-24,163.45
2018-10-25,163.46
2018-10-26,163.47
2018-10-29,163.52
2018-10-30,163.53
2018-10-31,163.54
2018-11-01,163.56
2018-11-02,163.58
2018-11-05,163.62
2018-11-06,163.64
2018-11-07,163.67
2018-11-08,163.69
2018-11-09,163.73
2018-11-12,163.78
2018-11-13,163.8
2018-11-14,163.84
2018-11-15,163.86
2018-11-16,163.89
2018-11-19,163.93
2018-11-20,163.94
2018-11-21,163.94
2018-11-22,163.96
2018-11-23,163.97
2018-11-26,164.02
2018-11-27,164.03
2018-11-28,164.04
2018-11-29,164.05
2018-11-30,164.07
2018-12-03,164.11
2018-12-04,164.13
2018-12-05,164.16
2018-12-06,164.18
2018-12-07,164.19
2018-12-10,164.24
2018-12-11,164.25
2018-12-12,164.24
2018-12-13,164.24
2018-12-14,164.23
2018-12-17,164.26
2018-12-18,164.26
2018-12-19,164.27
2018-12-20,164.27
2018-12-21,164.28
2018-12-24,164.33
2018-12-25,164.32
2018-12-26,164.32
2018-12-27,164.32
2018-12-28,164.38
2019-01-02,164.58
2019-01-03,164.64
2019-01-04,164.7
2019-01-07,164.77
2019-01-08,164.82
2019-01-09,164.84
2019-01-10,164.86
2019-01-11,164.86
2019-01-14,164.9
2019-01-15,164.91
2019-01-16,164.92
2019-01-17,164.94
2019-01-18,164.95
2019-01-21,165.01
2019-01-22,165.0
2019-01-23,165.0
2019-01-24,165.0
2019-01-25,165.01
2019-01-28,165.06
2019-01-29,165.09
2019-01-30,165.07
2019-01-31,165.1
2019-02-01,165.12
2019-02-11,165.28
2019-02-12,165.32
2019-02-13,165.34
2019-02-14,165.37
2019-02-15,165.39
2019-02-18,165.44
2019-02-19,165.46
2019-02-20,165.49
2019-02-21,165.51
2019-02-22,165.53
2019-02-25,165.56
2019-02-26,165.56
2019-02-27,165.55
2019-02-28,165.57
2019-03-01,165.6
2019-03-04,165.65
2019-03-05,165.66
2019-03-06,165.67
2019-03-07,165.68
2019-03-08,165.7
2019-03-11,165.74
2019-03-12,165.75
2019-03-13,165.76
2019-03-14,165.76
2019-03-15,165.76
2019-03-18,165.77
2019-03-19,165.78
2019-03-20,165.79
2019-03-21,165.81
2019-03-22,165.83
2019-03-25,165.88
2019-03-26,165.89
2019-03-27,165.91
2019-03-28,165.93
2019-03-29,165.96
2019-04-01,166.02
2019-04-02,166.04
2019-04-03,166.04
2019-04-04,166.06
2019-04-08,166.11
2019-04-09,166.12
2019-04-10,166.12
2019-04-11,166.13
2019-04-12,166.14
2019-04-15,166.14
2019-04-16,166.13
2019-04-17,166.1
2019-04-18,166.11
2019-04-19,166.13
2019-04-22,166.19
2019-04-23,166.18
2019-04-24,166.17
2019-04-25,166.16
2019-04-26,166.15
2019-04-29,166.15
2019-04-30,166.17
2019-05-06,166.29
2019-05-07,166.32
2019-05-08,166.35
2019-05-09,166.36
2019-05-10,166.38
2019-05-13,166.43
2019-05-14,166.44
2019-05-15,166.46
2019-05-16,166.48
2019-05-17,166.5
2019-05-20,166.55
2019-05-21,166.56
2019-05-22,166.56
2019-05-23,166.56
2019-05-24,166.59
2019-05-27,166.61
2019-05-28,166.6
2019-05-29,166.61
2019-05-30,166.64
2019-05-31,166.66
2019-06-03,166.71
2019-06-04,166.72
2019-06-05,166.73
2019-06-06,166.74
2019-06-10,166.8
2019-06-11,166.8
2019-06-12,166.81
2019-06-13,166.82
2019-06-14,166.83
2019-06-17,166.87
2019-06-18,166.9
2019-06-19,166.94
2019-06-20,166.98
2019-06-21,167.01
2019-06-24,167.07
2019-06-25,167.08
2019-06-26,167.1
2019-06-27,167.13
2019-06-28,167.15
2019-07-01,167.2
2019-07-02,167.24
2019-07-03,167.25
2019-07-04,167.29
2019-07-05,167.31
2019-07-08,167.34
2019-07-09,167.35
2019-07-10,167.35
2019-07-11,167.37
2019-07-12,167.37
2019-07-15,167.42
2019-07-16,167.42
2019-07-17,167.43
2019-07-18,167.43
2019-07-19,167.45
2019-07-22,167.49
2019-07-23,167.51
2019-07-24,167.54
2019-07-25,167.55
2019-07-26,167.56
2019-07-29,167.6
2019-07-30,167.61
2019-07-31,167.62
2019-08-01,167.64
2019-08-02,167.66
2019-08-05,167.7
2019-08-06,167.72
2019-08-07,167.74
2019-08-08,167.76
2019-08-09,167.77
2019-08-12,167.8
2019-08-13,167.81
2019-08-14,167.81
2019-08-15,167.83
2019-08-16,167.84
2019-08-19,167.88
2019-08-20,167.89
2019-08-21,167.91
2019-08-22,167.92
2019-08-23,167.93
2019-08-26,167.97
2019-08-27,167.97
2019-08-28,167.99
2019-08-29,168.01
2019-08-30,168.01
2019-09-02,168.06
2019-09-03,168.07
2019-09-04,168.08
2019-09-05,168.1
2019-09-06,168.12
2019-09-09,168.16
2019-09-10,168.18
2019-09-11,168.19
2019-09-12,168.22
2019-09-16,168.29
2019-09-17,168.31
2019-09-18,168.32
2019-09-19,168.33
2019-09-20,168.34
2019-09-23,168.38
2019-09-24,168.38
2019-09-25,168.4
2019-09-26,168.41
2019-09-27,168.44
2019-09-30,168.49
2019-10-08,168.6
2019-10-09,168.61
2019-10-10,168.62
2019-10-11,168.64
2019-10-14,168.68
2019-10-15,168.69
2019-10-16,168.7
2019-10-17,168.72
2019-10-18,168.73
2019-10-21,168.77
2019-10-22,168.77
2019-10-23,168.78
2019-10-24,168.77
2019-10-25,168.78
2019-10-28,168.82
2019-10-29,168.82
2019-10-30,168.82
2019-10-31,168.82
2019-11-01,168.83
2019-11-04,168.88
2019-11-05,168.9
2019-11-06,168.91
2019-11-07,168.92
2019-11-08,168.94
2019-11-11,168.99
2019-11-12,169.0
2019-11-13,169.01
2019-11-14,169.01
2019-11-15,169.02
2019-11-18,169.06
2019-11-19,169.07
2019-11-20,169.09
2019-11-21,169.11
2019-11-22,169.13
2019-11-25,169.17
2019-11-26,169.18
2019-11-27,169.2
2019-11-28,169.21
2019-11-29,169.22
2019-12-02,169.27
2019-12-03,169.25
2019-12-04,169.26
2019-12-05,169.28
2019-12-06,169.29
2019-12-09,169.33
