date,open,high,low,close,volume
2015-12-07,68.203,68.203,67.153,67.703,3072179.0
2015-12-08,66.623,67.303,66.263,66.603,2895078.0
2015-12-09,66.363,67.793,65.593,66.213,4408664.0
2015-12-10,66.343,67.173,66.063,66.403,4686430.0
2015-12-11,65.263,65.563,64.353,64.503,4273849.0
2015-12-14,64.633,64.933,63.593,64.743,5532099.0
2015-12-15,65.673,66.623,65.563,66.253,4900982.0
2015-12-16,66.823,67.693,66.063,67.513,4214221.0
2015-12-17,67.673,67.723,65.963,65.983,3991012.0
2015-12-18,65.543,65.573,64.253,64.253,5048707.0
2015-12-21,64.893,65.133,64.243,65.003,3763272.0
2015-12-22,65.483,66.153,64.903,65.983,4576191.0
2015-12-23,66.523,67.603,66.463,67.573,3450876.0
2015-12-24,67.4603,67.7303,67.1703,67.3703,1506662.0
2015-12-28,66.8903,66.9603,66.3703,66.9403,3340786.0
2015-12-29,67.5803,68.0103,67.4903,67.9103,3605682.0
2015-12-30,67.6503,67.7903,67.0703,67.1603,2082470.0
2015-12-31,66.8203,67.2403,66.3803,66.4103,2583654.0
2016-01-04,64.8403,65.2703,64.0303,65.2703,6721890.0
2016-01-05,65.3803,65.5703,64.7303,65.4603,4033248.0
2016-01-06,64.0103,64.5503,63.4003,63.9803,2907489.0
2016-01-07,62.2903,63.2603,61.4403,61.7303,3897222.0
2016-01-08,62.3303,62.4803,60.3903,60.5303,3665091.0
2016-01-11,61.0303,61.2203,59.5803,60.4903,5683669.0
2016-01-12,61.3203,61.5803,59.8003,61.0203,5280631.0
2016-01-13,61.5003,61.7703,58.7603,59.0603,3798742.0
2016-01-14,59.4103,61.0903,58.7003,60.4903,6266641.0
2016-01-15,58.0303,58.8103,57.3103,58.4503,7404378.0
2016-01-19,59.3103,59.4803,57.4603,58.2303,6521866.0
2016-01-20,56.7503,57.5703,54.7003,56.7703,6228452.0
2016-01-21,56.9503,58.3503,56.3103,57.2303,7213817.0
2016-01-22,58.7603,59.1203,58.1603,58.9403,7093571.0
2016-01-25,58.5503,58.7303,57.1803,57.2703,5091433.0
2016-01-26,57.6903,59.0703,57.6903,58.9403,2963480.0
2016-01-27,58.7403,60.0703,57.9803,58.4803,2866331.0
2016-01-28,59.3503,59.5103,58.0903,58.8603,3488123.0
2016-01-29,59.3703,61.3003,59.3703,61.2403,7014344.0
2016-02-01,60.6503,61.4603,60.1503,60.9803,3434694.0
2016-02-02,59.9103,59.9403,58.8303,59.1503,3967283.0
2016-02-03,59.6803,60.1903,57.6703,59.9503,4954906.0
2016-02-04,59.7903,61.0103,59.6903,60.3603,2677642.0
2016-02-05,60.1403,60.2503,58.8403,59.1503,3545017.0
2016-02-08,58.2303,58.2603,56.8503,57.9703,5107577.0
2016-02-09,57.0903,58.3303,56.8503,57.6603,4419794.0
2016-02-10,58.1203,58.8803,57.4103,57.4703,3280052.0
2016-02-11,55.9703,56.5703,55.1103,55.9603,3495759.0
2016-02-12,56.8703,58.0103,56.6203,58.0103,3095783.0
2016-02-16,59.0403,59.4403,58.4403,59.3803,3703780.0
2016-02-17,60.1003,61.0703,60.1003,60.8003,2104411.0
2016-02-18,60.9903,61.0503,60.3503,60.6003,1713490.0
2016-02-19,60.1203,60.4903,59.7403,60.4303,1550801.0
2016-02-22,61.3703,61.9403,61.3403,61.8903,1711092.0
2016-02-23,61.4603,61.6003,60.4803,60.6403,1642562.0
2016-02-24,59.7303,61.1003,59.1603,60.9803,2148901.0
2016-02-25,61.1903,62.1203,60.8403,62.0903,1211013.0
2016-02-26,62.6003,62.7603,61.9503,62.0503,1755374.0
2016-02-29,62.0203,62.5403,61.2403,61.2403,2657828.0
2016-03-01,61.9403,63.3803,61.6603,63.3803,2205137.0
2016-03-02,63.2003,64.2803,63.0603,64.2503,1725719.0
2016-03-03,64.2203,64.9103,63.9003,64.9003,1586852.0
2016-03-04,65.0003,65.8303,64.6103,65.3903,1732645.0
2016-03-07,64.8603,66.0203,64.8403,65.9103,1614969.0
2016-03-08,65.3103,65.3403,64.3203,64.4003,1627596.0
2016-03-09,64.8703,65.3103,64.5403,64.9203,1109644.0
2016-03-10,65.1903,65.6103,63.9303,64.9603,2724381.0
2016-03-11,65.8403,66.7203,65.8403,66.6503,1342857.0
2016-03-14,66.3103,66.6403,65.9803,66.3803,1116116.0
2016-03-15,65.6603,66.0703,65.4703,66.0303,1054253.0
2016-03-16,65.8003,66.8103,65.7703,66.6403,1751596.0
2016-03-17,66.6703,67.9203,66.4003,67.5803,1250767.0
2016-03-18,67.9403,68.3703,67.7603,68.0403,1236371.0
2016-03-21,67.8603,68.2103,67.6503,68.0903,1056124.0
2016-03-22,67.6103,68.2903,67.4603,67.9303,1434691.0
2016-03-23,67.7705,67.9805,67.0405,67.1105,1329135.0
2016-03-24,66.4505,67.0305,66.1805,67.0005,2165081.0
2016-03-28,67.1605,67.3005,66.6605,67.0905,1727604.0
2016-03-29,66.8805,67.8105,66.4505,67.7905,1431731.0
2016-03-30,68.3105,68.6205,67.9505,68.1805,1309724.0
2016-03-31,68.1605,68.3905,67.8605,67.9705,3175100.0
2016-04-01,67.3105,68.5005,67.0405,68.4205,1387741.0
2016-04-04,68.2805,68.4405,67.7305,67.9505,936449.0
2016-04-05,67.1505,67.3105,66.7105,66.8105,1694168.0
2016-04-06,66.9205,67.8005,66.6305,67.7605,2362630.0
2016-04-07,67.1005,67.3505,66.1905,66.6605,1874716.0
2016-04-08,67.3705,67.7305,66.8405,67.1105,1888822.0
2016-04-11,67.4605,67.9605,67.0205,67.0505,1274135.0
2016-04-12,67.1905,68.2805,66.8705,68.0805,2908587.0
2016-04-13,68.6405,69.3505,68.5505,69.3305,1089000.0
2016-04-14,69.2605,69.4905,69.0105,69.3405,1372297.0
2016-04-15,69.3405,69.3705,68.9705,69.1105,1442540.0
2016-04-18,68.6305,69.8905,68.5505,69.8705,1238730.0
2016-04-19,70.1305,70.7905,70.1305,70.7405,2439645.0
2016-04-20,70.7605,71.3705,70.5605,70.9605,1554821.0
2016-04-21,70.9805,71.1305,70.1005,70.2605,1356618.0
2016-04-22,70.2605,70.8705,70.2605,70.7505,4638373.0
2016-04-25,70.3905,70.4805,69.9405,70.4205,1410453.0
2016-04-26,70.6505,70.9505,70.4805,70.9505,1510400.0
2016-04-27,70.9205,71.7905,70.8805,71.6005,1302678.0
2016-04-28,70.9805,71.6205,70.3405,70.6405,1618563.0
2016-04-29,70.2905,70.5205,69.3105,70.0505,4030676.0
2016-05-02,70.2605,70.8105,69.9605,70.7405,1755768.0
2016-05-03,69.8905,69.9405,69.1005,69.6105,3062063.0
2016-05-04,69.1105,69.4705,68.6005,68.8705,1605090.0
2016-05-05,69.1805,69.5205,68.6205,68.9105,5960023.0
2016-05-06,68.4505,69.2505,68.3305,69.1505,1389233.0
2016-05-09,69.0505,69.3105,68.6005,68.9605,1742241.0
2016-05-10,69.3605,70.2605,69.3405,70.2305,1398093.0
2016-05-11,70.0105,70.3605,69.6305,69.6805,2204553.0
2016-05-12,70.0405,70.2105,69.1505,69.6905,1265301.0
2016-05-13,69.5805,69.8505,68.5305,68.7105,1138309.0
2016-05-16,68.8105,69.9105,68.6605,69.6405,1735433.0
2016-05-17,69.4305,69.6905,68.6105,68.9405,2390396.0
2016-05-18,68.6905,69.7005,68.4005,68.9905,2617176.0
2016-05-19,68.5505,68.9205,67.9705,68.7705,2685277.0
2016-05-20,69.1405,69.7405,69.1405,69.4805,2519882.0
2016-05-23,69.3405,69.5505,69.1805,69.3005,1227404.0
2016-05-24,69.8005,70.6605,69.8005,70.4905,1285298.0
2016-05-25,70.8205,71.6105,70.8205,71.3805,1726234.0
2016-05-26,71.4805,71.6005,71.1105,71.2205,1245369.0
2016-05-27,71.1805,71.6905,71.1805,71.6905,984145.0
2016-05-31,71.8605,72.0405,71.1705,71.5305,2570868.0
2016-06-01,71.0905,71.8305,70.7605,71.7605,1393046.0
2016-06-02,71.4805,72.0505,71.2505,72.0405,1369036.0
2016-06-03,71.5405,71.8705,70.9905,71.6405,1363464.0
2016-06-06,71.9205,72.5805,71.9205,72.3805,2036852.0
2016-06-07,72.5005,73.0105,72.5005,72.7205,2221702.0
2016-06-08,72.8605,73.1705,72.6905,73.0505,2170325.0
2016-06-09,72.5005,72.8905,72.3205,72.7605,1151974.0
2016-06-10,71.9605,72.2005,71.3905,71.7005,1953794.0
2016-06-13,71.2905,71.9705,70.9205,70.9905,1878257.0
2016-06-14,70.6505,71.0705,70.0405,70.6205,1458208.0
2016-06-15,70.7305,71.2505,70.4005,70.5205,2039452.0
2016-06-16,69.9605,70.8305,69.3405,70.7705,2805687.0
2016-06-17,70.8405,71.0605,70.3505,70.8505,2212803.0
2016-06-20,71.9805,72.3105,71.4305,71.5105,3197014.0
2016-06-21,71.6905,72.1205,71.3405,71.8405,836319.0
2016-06-22,71.9605,72.3705,71.5905,71.6305,1497492.0
2016-06-23,72.6205,73.2305,72.4305,73.2105,1821409.0
2016-06-24,69.4405,71.1405,69.0505,69.2105,3552592.0
2016-06-27,68.3205,68.3605,67.8005,67.8005,238008.0
2016-06-28,68.2905,69.0005,67.9005,69.0005,3164883.0
2016-06-29,69.8405,70.9405,69.7505,70.8305,4250416.0
2016-06-30,71.0905,72.4305,70.7705,72.3905,3213768.0
2016-07-01,72.2805,72.7505,72.2805,72.5005,1669279.0
2016-07-05,71.9605,72.0505,71.1105,71.4505,2175998.0
2016-07-06,71.2162,72.1062,70.6662,72.0362,1720750.0
2016-07-07,72.0862,72.5962,71.3662,71.7662,2570877.0
2016-07-08,72.5162,73.5262,72.5162,73.3862,3408588.0
2016-07-11,73.6962,74.0562,73.4862,73.7962,2118624.0
