strategy,cagr,sharpe,mdd,calmar,years,start,end,pct_in_market,trades,bh_cagr,bh_sharpe,bh_mdd
TS>MA120 | 创业板 [OOS],20.42,0.869,-25.83,0.791,3.1,2023-01-03,2026-03-24,52.6,8.0,11.14,0.5,-41.45
TS>MA250 | 创业板 [FULL],-3.33,-0.042,-69.35,-0.048,13.7,2012-01-05,2026-03-24,43.9,68.0,11.79,0.517,-69.74
TS>MA250 | 创业板 [IS],-5.15,-0.131,-69.35,-0.074,10.6,2012-01-05,2022-12-30,44.6,58.0,11.98,0.522,-69.74
TS>MA250 | 创业板 [OOS],3.18,0.247,-26.0,0.122,3.1,2023-01-03,2026-03-24,41.6,10.0,11.14,0.5,-41.45
10Y<2.5 | 创业板 [FULL],4.97,0.43,-29.14,0.171,13.7,2012-01-05,2026-03-24,15.2,3.0,11.79,0.517,-69.74
10Y<2.5 | 创业板 [IS],0.14,0.287,-0.1,1.355,10.6,2012-01-05,2022-12-30,0.0,1.0,11.98,0.522,-69.74
10Y<2.5 | 创业板 [OOS],23.42,0.891,-29.14,0.804,3.1,2023-01-03,2026-03-24,67.1,2.0,11.14,0.5,-41.45
10Y<2.8 | 创业板 [FULL],0.39,0.104,-52.69,0.007,13.7,2012-01-05,2026-03-24,29.4,19.0,11.79,0.517,-69.74
10Y<2.8 | 创业板 [IS],-2.69,-0.244,-31.68,-0.085,10.6,2012-01-05,2022-12-30,11.8,19.0,11.98,0.522,-69.74
10Y<2.8 | 创业板 [OOS],11.72,0.521,-34.16,0.343,3.1,2023-01-03,2026-03-24,90.1,0.0,11.14,0.5,-41.45
10Y<3.0 | 创业板 [FULL],-0.58,0.07,-59.86,-0.01,13.7,2012-01-05,2026-03-24,43.6,9.0,11.79,0.517,-69.74
10Y<3.0 | 创业板 [IS],-3.76,-0.159,-43.59,-0.086,10.6,2012-01-05,2022-12-30,27.2,9.0,11.98,0.522,-69.74
10Y<3.0 | 创业板 [OOS],11.14,0.5,-41.45,0.269,3.1,2023-01-03,2026-03-24,100.0,0.0,11.14,0.5,-41.45
10Y<3.2 | 创业板 [FULL],7.74,0.445,-57.05,0.136,13.7,2012-01-05,2026-03-24,54.7,16.0,11.79,0.517,-69.74
10Y<3.2 | 创业板 [IS],6.77,0.433,-39.65,0.171,10.6,2012-01-05,2022-12-30,41.5,16.0,11.98,0.522,-69.74
10Y<3.2 | 创业板 [OOS],11.14,0.5,-41.45,0.269,3.1,2023-01-03,2026-03-24,100.0,0.0,11.14,0.5,-41.45
10Y<3.5 | 创业板 [FULL],12.15,0.568,-57.05,0.213,13.7,2012-01-05,2026-03-24,71.3,20.0,11.79,0.517,-69.74
10Y<3.5 | 创业板 [IS],12.45,0.593,-46.55,0.267,10.6,2012-01-05,2022-12-30,63.0,20.0,11.98,0.522,-69.74
10Y<3.5 | 创业板 [OOS],11.14,0.5,-41.45,0.269,3.1,2023-01-03,2026-03-24,100.0,0.0,11.14,0.5,-41.45
10Y<MA60 | 创业板 [FULL],9.61,0.508,-53.05,0.181,13.7,2012-01-05,2026-03-24,56.0,81.0,11.79,0.517,-69.74
10Y<MA60 | 创业板 [IS],11.02,0.56,-43.98,0.251,10.6,2012-01-05,2022-12-30,52.8,59.0,11.98,0.522,-69.74
10Y<MA60 | 创业板 [OOS],4.91,0.321,-32.3,0.152,3.1,2023-01-03,2026-03-24,67.2,22.0,11.14,0.5,-41.45
10Y<MA120 | 创业板 [FULL],9.33,0.483,-51.95,0.18,13.7,2012-01-05,2026-03-24,59.9,54.0,11.79,0.517,-69.74
10Y<MA120 | 创业板 [IS],12.59,0.609,-45.37,0.277,10.6,2012-01-05,2022-12-30,57.1,46.0,11.98,0.522,-69.74
10Y<MA120 | 创业板 [OOS],-1.15,0.086,-35.1,-0.033,3.1,2023-01-03,2026-03-24,69.4,8.0,11.14,0.5,-41.45
10Y<MA250 | 创业板 [FULL],7.89,0.418,-63.5,0.124,13.7,2012-01-05,2026-03-24,65.9,29.0,11.79,0.517,-69.74
10Y<MA250 | 创业板 [IS],8.69,0.447,-63.5,0.137,10.6,2012-01-05,2022-12-30,63.8,27.0,11.98,0.522,-69.74
10Y<MA250 | 创业板 [OOS],5.18,0.319,-34.16,0.151,3.1,2023-01-03,2026-03-24,73.0,2.0,11.14,0.5,-41.45
M1M2>-1&TS>0.3 | 创业板 [FULL],0.26,0.082,-42.78,0.006,13.6,2012-01-05,2026-01-30,13.2,13.0,12.14,0.527,-69.74
M1M2>-1&TS>0.3 | 创业板 [IS],0.34,0.092,-42.78,0.008,10.6,2012-01-05,2022-12-30,16.9,13.0,11.98,0.522,-69.74
M1M2>-1&TS>0.3 | 创业板 [OOS],0.0,0.0,0.0,0.0,3.0,2023-01-03,2026-01-30,0.0,0.0,12.72,0.546,-41.45
M1M2>-1|TS>0.3 | 创业板 [FULL],9.07,0.444,-67.82,0.134,13.6,2012-01-05,2026-01-30,88.7,33.0,12.14,0.527,-69.74
M1M2>-1|TS>0.3 | 创业板 [IS],8.95,0.438,-67.82,0.132,10.6,2012-01-05,2022-12-30,92.9,21.0,11.98,0.522,-69.74
M1M2>-1|TS>0.3 | 创业板 [OOS],9.49,0.467,-41.55,0.228,3.0,2023-01-03,2026-01-30,73.9,12.0,12.72,0.546,-41.45
M1M2>-1&TS>0.5 | 创业板 [FULL],2.46,0.459,-9.22,0.267,13.6,2012-01-05,2026-01-30,3.9,19.0,12.14,0.527,-69.74
M1M2>-1&TS>0.5 | 创业板 [IS],3.16,0.519,-9.22,0.343,10.6,2012-01-05,2022-12-30,4.9,19.0,11.98,0.522,-69.74
M1M2>-1&TS>0.5 | 创业板 [OOS],0.0,0.0,0.0,0.0,3.0,2023-01-03,2026-01-30,0.0,0.0,12.72,0.546,-41.45
M1M2>-1|TS>0.5 | 创业板 [FULL],-0.9,0.081,-64.48,-0.014,13.6,2012-01-05,2026-01-30,50.5,61.0,12.14,0.527,-69.74
M1M2>-1|TS>0.5 | 创业板 [IS],-2.17,0.034,-64.48,-0.034,10.6,2012-01-05,2022-12-30,58.0,50.0,11.98,0.522,-69.74
M1M2>-1|TS>0.5 | 创业板 [OOS],3.8,0.279,-21.92,0.174,3.0,2023-01-03,2026-01-30,23.4,11.0,12.72,0.546,-41.45
M1M2>0&TS>0.3 | 创业板 [FULL],-1.41,-0.072,-39.07,-0.036,13.6,2012-01-05,2026-01-30,11.7,8.0,12.14,0.527,-69.74
M1M2>0&TS>0.3 | 创业板 [IS],-1.8,-0.081,-39.07,-0.046,10.6,2012-01-05,2022-12-30,15.0,8.0,11.98,0.522,-69.74
M1M2>0&TS>0.3 | 创业板 [OOS],0.0,0.0,0.0,0.0,3.0,2023-01-03,2026-01-30,0.0,0.0,12.72,0.546,-41.45
M1M2>0|TS>0.3 | 创业板 [FULL],8.54,0.428,-67.82,0.126,13.6,2012-01-05,2026-01-30,88.0,35.0,12.14,0.527,-69.74
M1M2>0|TS>0.3 | 创业板 [IS],8.28,0.418,-67.82,0.122,10.6,2012-01-05,2022-12-30,92.0,23.0,11.98,0.522,-69.74
M1M2>0|TS>0.3 | 创业板 [OOS],9.49,0.467,-41.55,0.228,3.0,2023-01-03,2026-01-30,73.9,12.0,12.72,0.546,-41.45
M1M2>0&TS>0.5 | 创业板 [FULL],1.7,0.348,-9.22,0.184,13.6,2012-01-05,2026-01-30,3.3,18.0,12.14,0.527,-69.74
M1M2>0&TS>0.5 | 创业板 [IS],2.17,0.394,-9.22,0.236,10.6,2012-01-05,2022-12-30,4.2,18.0,11.98,0.522,-69.74
M1M2>0&TS>0.5 | 创业板 [OOS],0.0,0.0,0.0,0.0,3.0,2023-01-03,2026-01-30,0.0,0.0,12.72,0.546,-41.45
M1M2>0|TS>0.5 | 创业板 [FULL],-2.29,0.018,-66.31,-0.035,13.6,2012-01-05,2026-01-30,48.8,59.0,12.14,0.527,-69.74
M1M2>0|TS>0.5 | 创业板 [IS],-3.93,-0.044,-66.31,-0.059,10.6,2012-01-05,2022-12-30,55.9,48.0,11.98,0.522,-69.74
M1M2>0|TS>0.5 | 创业板 [OOS],3.8,0.279,-21.92,0.174,3.0,2023-01-03,2026-01-30,23.4,11.0,12.72,0.546,-41.45
M1M2>1&TS>0.3 | 创业板 [FULL],-2.17,-0.153,-39.07,-0.055,13.6,2012-01-05,2026-01-30,11.2,8.0,12.14,0.527,-69.74
M1M2>1&TS>0.3 | 创业板 [IS],-2.76,-0.173,-39.07,-0.071,10.6,2012-01-05,2022-12-30,14.4,8.0,11.98,0.522,-69.74
M1M2>1&TS>0.3 | 创业板 [OOS],0.0,0.0,0.0,0.0,3.0,2023-01-03,2026-01-30,0.0,0.0,12.72,0.546,-41.45
M1M2>1|TS>0.3 | 创业板 [FULL],8.54,0.428,-67.82,0.126,13.6,2012-01-05,2026-01-30,88.0,35.0,12.14,0.527,-69.74
M1M2>1|TS>0.3 | 创业板 [IS],8.28,0.418,-67.82,0.122,10.6,2012-01-05,2022-12-30,92.0,23.0,11.98,0.522,-69.74
M1M2>1|TS>0.3 | 创业板 [OOS],9.49,0.467,-41.55,0.228,3.0,2023-01-03,2026-01-30,73.9,12.0,12.72,0.546,-41.45
M1M2>1&TS>0.5 | 创业板 [FULL],1.39,0.299,-9.22,0.15,13.6,2012-01-05,2026-01-30,3.1,16.0,12.14,0.527,-69.74
M1M2>1&TS>0.5 | 创业板 [IS],1.78,0.338,-9.22,0.193,10.6,2012-01-05,2022-12-30,4.0,16.0,11.98,0.522,-69.74
M1M2>1&TS>0.5 | 创业板 [OOS],0.0,0.0,0.0,0.0,3.0,2023-01-03,2026-01-30,0.0,0.0,12.72,0.546,-41.45
M1M2>1|TS>0.5 | 创业板 [FULL],-2.73,-0.003,-68.32,-0.04,13.6,2012-01-05,2026-01-30,48.5,60.0,12.14,0.527,-69.74
M1M2>1|TS>0.5 | 创业板 [IS],-4.49,-0.072,-68.32,-0.066,10.6,2012-01-05,2022-12-30,55.5,49.0,11.98,0.522,-69.74
M1M2>1|TS>0.5 | 创业板 [OOS],3.8,0.279,-21.92,0.174,3.0,2023-01-03,2026-01-30,23.4,11.0,12.72,0.546,-41.45
M1M2_Up&10Y<MA60 | 创业板 [FULL],10.71,0.679,-37.55,0.285,13.6,2012-01-05,2026-01-30,26.6,49.0,12.14,0.527,-69.74
M1M2_Up&10Y<MA60 | 创业板 [IS],11.9,0.718,-35.25,0.338,10.6,2012-01-05,2022-12-30,25.1,40.0,11.98,0.522,-69.74
M1M2_Up&10Y<MA60 | 创业板 [OOS],6.55,0.515,-20.1,0.326,3.0,2023-01-03,2026-01-30,32.0,9.0,12.72,0.546,-41.45
M1M2_Up|10Y<MA60 | 创业板 [FULL],13.31,0.591,-60.22,0.221,13.6,2012-01-05,2026-01-30,76.7,52.0,12.14,0.527,-69.74
M1M2_Up|10Y<MA60 | 创业板 [IS],13.27,0.587,-60.22,0.22,10.6,2012-01-05,2022-12-30,74.3,37.0,11.98,0.522,-69.74
M1M2_Up|10Y<MA60 | 创业板 [OOS],13.48,0.603,-36.63,0.368,3.0,2023-01-03,2026-01-30,85.4,15.0,12.72,0.546,-41.45
M1M2_Up&10Y<MA120 | 创业板 [FULL],11.07,0.671,-39.56,0.28,13.6,2012-01-05,2026-01-30,28.8,38.0,12.14,0.527,-69.74
M1M2_Up&10Y<MA120 | 创业板 [IS],13.78,0.788,-35.11,0.392,10.6,2012-01-05,2022-12-30,27.4,32.0,11.98,0.522,-69.74
M1M2_Up&10Y<MA120 | 创业板 [OOS],1.91,0.198,-25.63,0.075,3.0,2023-01-03,2026-01-30,33.9,6.0,12.72,0.546,-41.45
M1M2_Up|10Y<MA120 | 创业板 [FULL],12.83,0.569,-63.45,0.202,13.6,2012-01-05,2026-01-30,78.3,38.0,12.14,0.527,-69.74
M1M2_Up|10Y<MA120 | 创业板 [IS],12.94,0.576,-63.45,0.204,10.6,2012-01-05,2022-12-30,76.4,33.0,11.98,0.522,-69.74
M1M2_Up|10Y<MA120 | 创业板 [OOS],12.42,0.547,-39.47,0.315,3.0,2023-01-03,2026-01-30,85.3,5.0,12.72,0.546,-41.45
M1M2>-3 | 中证1000 [FULL],3.97,0.301,-59.26,0.067,11.2,2014-06-19,2026-01-30,34.2,4.0,9.06,0.428,-74.93
M1M2>-3 | 中证1000 [IS],0.81,0.144,-59.26,0.014,8.3,2014-06-19,2022-12-30,43.6,3.0,7.09,0.373,-74.93
M1M2>-3 | 中证1000 [OOS],13.32,1.139,-10.54,1.263,3.0,2023-01-03,2026-01-30,8.0,1.0,14.72,0.585,-44.24
M1M2>-2 | 中证1000 [FULL],2.81,0.247,-51.59,0.055,11.2,2014-06-19,2026-01-30,29.2,6.0,9.06,0.428,-74.93
M1M2>-2 | 中证1000 [IS],2.64,0.232,-51.59,0.051,8.3,2014-06-19,2022-12-30,37.8,5.0,7.09,0.373,-74.93
M1M2>-2 | 中证1000 [OOS],3.3,0.373,-10.54,0.313,3.0,2023-01-03,2026-01-30,5.2,1.0,14.72,0.585,-44.24
M1M2>-1 | 中证1000 [FULL],-0.9,0.009,-50.11,-0.018,11.2,2014-06-19,2026-01-30,22.9,4.0,9.06,0.428,-74.93
M1M2>-1 | 中证1000 [IS],-1.22,0.011,-50.11,-0.024,8.3,2014-06-19,2022-12-30,31.1,4.0,7.09,0.373,-74.93
M1M2>-1 | 中证1000 [OOS],0.0,0.0,0.0,0.0,3.0,2023-01-03,2026-01-30,0.0,0.0,14.72,0.585,-44.24
M1M2>0 | 中证1000 [FULL],-2.85,-0.146,-47.89,-0.06,11.2,2014-06-19,2026-01-30,20.9,2.0,9.06,0.428,-74.93
M1M2>0 | 中证1000 [IS],-3.86,-0.17,-47.89,-0.081,8.3,2014-06-19,2022-12-30,28.4,2.0,7.09,0.373,-74.93
M1M2>0 | 中证1000 [OOS],0.0,0.0,0.0,0.0,3.0,2023-01-03,2026-01-30,0.0,0.0,14.72,0.585,-44.24
M1M2>1 | 中证1000 [FULL],-3.82,-0.234,-47.89,-0.08,11.2,2014-06-19,2026-01-30,20.3,2.0,9.06,0.428,-74.93
M1M2>1 | 中证1000 [IS],-5.16,-0.273,-47.89,-0.108,8.3,2014-06-19,2022-12-30,27.6,2.0,7.09,0.373,-74.93
M1M2>1 | 中证1000 [OOS],0.0,0.0,0.0,0.0,3.0,2023-01-03,2026-01-30,0.0,0.0,14.72,0.585,-44.24
M1M2>2 | 中证1000 [FULL],-3.95,-0.276,-39.56,-0.1,11.2,2014-06-19,2026-01-30,18.7,2.0,9.06,0.428,-74.93
M1M2>2 | 中证1000 [IS],-5.32,-0.322,-39.56,-0.135,8.3,2014-06-19,2022-12-30,25.5,2.0,7.09,0.373,-74.93
M1M2>2 | 中证1000 [OOS],0.0,0.0,0.0,0.0,3.0,2023-01-03,2026-01-30,0.0,0.0,14.72,0.585,-44.24
M1M2>3 | 中证1000 [FULL],-3.95,-0.276,-39.56,-0.1,11.2,2014-06-19,2026-01-30,18.7,2.0,9.06,0.428,-74.93
M1M2>3 | 中证1000 [IS],-5.32,-0.322,-39.56,-0.135,8.3,2014-06-19,2022-12-30,25.5,2.0,7.09,0.373,-74.93
M1M2>3 | 中证1000 [OOS],0.0,0.0,0.0,0.0,3.0,2023-01-03,2026-01-30,0.0,0.0,14.72,0.585,-44.24
M1M2_Rising(3m) | 中证1000 [FULL],14.41,0.669,-49.95,0.289,11.2,2014-06-19,2026-01-30,47.7,19.0,9.06,0.428,-74.93
M1M2_Rising(3m) | 中证1000 [IS],13.58,0.624,-49.95,0.272,8.3,2014-06-19,2022-12-30,46.6,15.0,7.09,0.373,-74.93
M1M2_Rising(3m) | 中证1000 [OOS],16.77,0.827,-27.78,0.604,3.0,2023-01-03,2026-01-30,50.9,4.0,14.72,0.585,-44.24
M1M2_Rising(6m) | 中证1000 [FULL],8.99,0.482,-50.24,0.179,11.2,2014-06-19,2026-01-30,42.9,17.0,9.06,0.428,-74.93
M1M2_Rising(6m) | 中证1000 [IS],9.13,0.479,-49.95,0.183,8.3,2014-06-19,2022-12-30,40.1,14.0,7.09,0.373,-74.93
M1M2_Rising(6m) | 中证1000 [OOS],8.6,0.495,-32.69,0.263,3.0,2023-01-03,2026-01-30,50.7,3.0,14.72,0.585,-44.24
M1>0% | 中证1000 [FULL],8.04,0.405,-74.93,0.107,11.2,2014-06-19,2026-01-30,93.7,3.0,9.06,0.428,-74.93
M1>0% | 中证1000 [IS],8.52,0.413,-74.93,0.114,8.3,2014-06-19,2022-12-30,98.3,2.0,7.09,0.373,-74.93
M1>0% | 中证1000 [OOS],6.72,0.39,-46.06,0.146,3.0,2023-01-03,2026-01-30,81.0,1.0,14.72,0.585,-44.24
M1>3% | 中证1000 [FULL],7.32,0.391,-71.27,0.103,11.2,2014-06-19,2026-01-30,76.9,8.0,9.06,0.428,-74.93
M1>3% | 中证1000 [IS],5.61,0.331,-71.27,0.079,8.3,2014-06-19,2022-12-30,89.8,6.0,7.09,0.373,-74.93
M1>3% | 中证1000 [OOS],12.22,0.758,-30.68,0.398,3.0,2023-01-03,2026-01-30,41.0,2.0,14.72,0.585,-44.24
M1>5% | 中证1000 [FULL],5.88,0.361,-55.67,0.106,11.2,2014-06-19,2026-01-30,50.5,8.0,9.06,0.428,-74.93
M1>5% | 中证1000 [IS],3.05,0.246,-55.67,0.055,8.3,2014-06-19,2022-12-30,60.8,6.0,7.09,0.373,-74.93
M1>5% | 中证1000 [OOS],14.18,1.044,-18.19,0.78,3.0,2023-01-03,2026-01-30,21.6,2.0,14.72,0.585,-44.24
M1>8% | 中证1000 [FULL],0.13,0.094,-50.11,0.003,11.2,2014-06-19,2026-01-30,26.8,4.0,9.06,0.428,-74.93
M1>8% | 中证1000 [IS],0.18,0.109,-50.11,0.004,8.3,2014-06-19,2022-12-30,36.4,4.0,7.09,0.373,-74.93
M1>8% | 中证1000 [OOS],0.0,0.0,0.0,0.0,3.0,2023-01-03,2026-01-30,0.0,0.0,14.72,0.585,-44.24
TS>0.1 | 中证1000 [FULL],8.92,0.424,-74.41,0.12,11.3,2014-06-19,2026-03-24,98.0,6.0,8.73,0.419,-74.93
TS>0.1 | 中证1000 [IS],7.34,0.38,-74.41,0.099,8.3,2014-06-19,2022-12-30,97.3,6.0,7.09,0.373,-74.93
TS>0.1 | 中证1000 [OOS],13.24,0.547,-44.24,0.299,3.1,2023-01-03,2026-03-24,100.0,0.0,13.24,0.547,-44.24
TS>0.2 | 中证1000 [FULL],7.19,0.376,-76.06,0.094,11.3,2014-06-19,2026-03-24,94.3,19.0,8.73,0.419,-74.93
TS>0.2 | 中证1000 [IS],6.11,0.345,-76.06,0.08,8.3,2014-06-19,2022-12-30,92.8,14.0,7.09,0.373,-74.93
TS>0.2 | 中证1000 [OOS],10.13,0.46,-44.22,0.229,3.1,2023-01-03,2026-03-24,98.5,5.0,13.24,0.547,-44.24
TS>0.3 | 中证1000 [FULL],8.06,0.404,-71.78,0.112,11.3,2014-06-19,2026-03-24,82.9,34.0,8.73,0.419,-74.93
TS>0.3 | 中证1000 [IS],7.77,0.394,-71.78,0.108,8.3,2014-06-19,2022-12-30,85.9,22.0,7.09,0.373,-74.93
TS>0.3 | 中证1000 [OOS],8.85,0.435,-44.75,0.198,3.1,2023-01-03,2026-03-24,74.9,12.0,13.24,0.547,-44.24
TS>0.4 | 中证1000 [FULL],1.76,0.201,-60.45,0.029,11.3,2014-06-19,2026-03-24,60.0,59.0,8.73,0.419,-74.93
TS>0.4 | 中证1000 [IS],0.68,0.166,-60.45,0.011,8.3,2014-06-19,2022-12-30,60.9,49.0,7.09,0.373,-74.93
TS>0.4 | 中证1000 [OOS],4.73,0.304,-36.02,0.131,3.1,2023-01-03,2026-03-24,57.6,10.0,13.24,0.547,-44.24
TS>0.5 | 中证1000 [FULL],1.88,0.194,-55.88,0.034,11.3,2014-06-19,2026-03-24,29.8,67.0,8.73,0.419,-74.93
TS>0.5 | 中证1000 [IS],0.86,0.15,-55.88,0.015,8.3,2014-06-19,2022-12-30,32.4,56.0,7.09,0.373,-74.93
TS>0.5 | 中证1000 [OOS],4.65,0.315,-23.53,0.197,3.1,2023-01-03,2026-03-24,22.9,11.0,13.24,0.547,-44.24
TS>0.6 | 中证1000 [FULL],3.13,0.262,-55.88,0.056,11.3,2014-06-19,2026-03-24,12.4,28.0,8.73,0.419,-74.93
TS>0.6 | 中证1000 [IS],-1.58,-0.01,-55.88,-0.028,8.3,2014-06-19,2022-12-30,12.4,21.0,7.09,0.373,-74.93
TS>0.6 | 中证1000 [OOS],16.88,0.881,-13.51,1.249,3.1,2023-01-03,2026-03-24,12.5,7.0,13.24,0.547,-44.24
TS>0.8 | 中证1000 [FULL],-4.08,-0.306,-54.01,-0.075,11.3,2014-06-19,2026-03-24,3.7,3.0,8.73,0.419,-74.93
TS>0.8 | 中证1000 [IS],-5.56,-0.359,-54.01,-0.103,8.3,2014-06-19,2022-12-30,5.1,3.0,7.09,0.373,-74.93
TS>0.8 | 中证1000 [OOS],0.0,0.0,0.0,0.0,3.1,2023-01-03,2026-03-24,0.0,0.0,13.24,0.547,-44.24
TS>1.0 | 中证1000 [FULL],-3.77,-0.452,-43.79,-0.086,11.3,2014-06-19,2026-03-24,1.9,2.0,8.73,0.419,-74.93
TS>1.0 | 中证1000 [IS],-5.14,-0.53,-43.79,-0.117,8.3,2014-06-19,2022-12-30,2.6,2.0,7.09,0.373,-74.93
TS>1.0 | 中证1000 [OOS],0.0,0.0,0.0,0.0,3.1,2023-01-03,2026-03-24,0.0,0.0,13.24,0.547,-44.24
TS>MA20 | 中证1000 [FULL],4.38,0.301,-61.76,0.071,11.3,2014-06-19,2026-03-24,50.1,164.0,8.73,0.419,-74.93
TS>MA20 | 中证1000 [IS],-0.36,0.102,-61.76,-0.006,8.3,2014-06-19,2022-12-30,50.3,121.0,7.09,0.373,-74.93
TS>MA20 | 中证1000 [OOS],18.18,0.883,-34.45,0.528,3.1,2023-01-03,2026-03-24,49.4,43.0,13.24,0.547,-44.24
TS>MA60 | 中证1000 [FULL],6.42,0.386,-56.12,0.114,11.3,2014-06-19,2026-03-24,47.1,92.0,8.73,0.419,-74.93
TS>MA60 | 中证1000 [IS],2.83,0.237,-52.73,0.054,8.3,2014-06-19,2022-12-30,46.0,67.0,7.09,0.373,-74.93
TS>MA60 | 中证1000 [OOS],16.65,0.728,-30.85,0.54,3.1,2023-01-03,2026-03-24,49.9,25.0,13.24,0.547,-44.24
TS>MA120 | 中证1000 [FULL],8.81,0.459,-57.98,0.152,11.3,2014-06-19,2026-03-24,50.6,71.0,8.73,0.419,-74.93
TS>MA120 | 中证1000 [IS],3.42,0.26,-57.98,0.059,8.3,2014-06-19,2022-12-30,49.8,63.0,7.09,0.373,-74.93
TS>MA120 | 中证1000 [OOS],24.63,0.961,-25.14,0.98,3.1,2023-01-03,2026-03-24,52.6,8.0,13.24,0.547,-44.24
TS>MA250 | 中证1000 [FULL],-2.29,0.028,-72.64,-0.031,11.3,2014-06-19,2026-03-24,44.8,58.0,8.73,0.419,-74.93
TS>MA250 | 中证1000 [IS],-4.79,-0.075,-72.64,-0.066,8.3,2014-06-19,2022-12-30,45.9,48.0,7.09,0.373,-74.93
TS>MA250 | 中证1000 [OOS],4.73,0.307,-25.84,0.183,3.1,2023-01-03,2026-03-24,41.6,10.0,13.24,0.547,-44.24
10Y<2.5 | 中证1000 [FULL],7.06,0.516,-31.22,0.226,11.3,2014-06-19,2026-03-24,18.3,3.0,8.73,0.419,-74.93
10Y<2.5 | 中证1000 [IS],0.19,0.327,-0.1,1.909,8.3,2014-06-19,2022-12-30,0.0,1.0,7.09,0.373,-74.93
10Y<2.5 | 中证1000 [OOS],27.83,0.974,-31.22,0.891,3.1,2023-01-03,2026-03-24,67.1,2.0,13.24,0.547,-44.24
10Y<2.8 | 中证1000 [FULL],0.97,0.145,-54.64,0.018,11.3,2014-06-19,2026-03-24,35.5,19.0,8.73,0.419,-74.93
10Y<2.8 | 中证1000 [IS],-3.87,-0.291,-34.6,-0.112,8.3,2014-06-19,2022-12-30,15.1,19.0,7.09,0.373,-74.93
10Y<2.8 | 中证1000 [OOS],15.16,0.604,-34.32,0.442,3.1,2023-01-03,2026-03-24,90.1,0.0,13.24,0.547,-44.24
10Y<3.0 | 中证1000 [FULL],-0.05,0.114,-62.47,-0.001,11.3,2014-06-19,2026-03-24,52.6,9.0,8.73,0.419,-74.93
10Y<3.0 | 中证1000 [IS],-4.61,-0.15,-45.77,-0.101,8.3,2014-06-19,2022-12-30,34.9,9.0,7.09,0.373,-74.93
10Y<3.0 | 中证1000 [OOS],13.24,0.547,-44.24,0.299,3.1,2023-01-03,2026-03-24,100.0,0.0,13.24,0.547,-44.24
10Y<3.2 | 中证1000 [FULL],11.51,0.547,-59.48,0.193,11.3,2014-06-19,2026-03-24,66.0,16.0,8.73,0.419,-74.93
10Y<3.2 | 中证1000 [IS],10.86,0.556,-41.45,0.262,8.3,2014-06-19,2022-12-30,53.3,16.0,7.09,0.373,-74.93
10Y<3.2 | 中证1000 [OOS],13.24,0.547,-44.24,0.299,3.1,2023-01-03,2026-03-24,100.0,0.0,13.24,0.547,-44.24
10Y<3.5 | 中证1000 [FULL],14.26,0.597,-59.48,0.24,11.3,2014-06-19,2026-03-24,80.2,15.0,8.73,0.419,-74.93
10Y<3.5 | 中证1000 [IS],14.64,0.618,-52.08,0.281,8.3,2014-06-19,2022-12-30,72.8,15.0,7.09,0.373,-74.93
10Y<3.5 | 中证1000 [OOS],13.24,0.547,-44.24,0.299,3.1,2023-01-03,2026-03-24,100.0,0.0,13.24,0.547,-44.24
10Y<MA60 | 中证1000 [FULL],12.62,0.587,-54.93,0.23,11.3,2014-06-19,2026-03-24,59.0,72.0,8.73,0.419,-74.93
10Y<MA60 | 中证1000 [IS],14.94,0.658,-47.19,0.317,8.3,2014-06-19,2022-12-30,55.9,50.0,7.09,0.373,-74.93
10Y<MA60 | 中证1000 [OOS],6.66,0.382,-33.03,0.202,3.1,2023-01-03,2026-03-24,67.2,22.0,13.24,0.547,-44.24
10Y<MA120 | 中证1000 [FULL],9.72,0.474,-53.35,0.182,11.3,2014-06-19,2026-03-24,63.4,48.0,8.73,0.419,-74.93
10Y<MA120 | 中证1000 [IS],13.29,0.594,-49.24,0.27,8.3,2014-06-19,2022-12-30,61.2,40.0,7.09,0.373,-74.93
10Y<MA120 | 中证1000 [OOS],0.71,0.163,-35.31,0.02,3.1,2023-01-03,2026-03-24,69.4,8.0,13.24,0.547,-44.24
10Y<MA250 | 中证1000 [FULL],6.39,0.357,-68.03,0.094,11.3,2014-06-19,2026-03-24,71.2,23.0,8.73,0.419,-74.93
10Y<MA250 | 中证1000 [IS],6.07,0.347,-68.03,0.089,8.3,2014-06-19,2022-12-30,70.5,21.0,7.09,0.373,-74.93
10Y<MA250 | 中证1000 [OOS],7.26,0.385,-34.32,0.211,3.1,2023-01-03,2026-03-24,73.0,2.0,13.24,0.547,-44.24
M1M2>-1&TS>0.3 | 中证1000 [FULL],-0.9,-0.002,-47.18,-0.019,11.2,2014-06-19,2026-01-30,15.3,12.0,9.06,0.428,-74.93
M1M2>-1&TS>0.3 | 中证1000 [IS],-1.21,-0.002,-47.18,-0.026,8.3,2014-06-19,2022-12-30,20.8,12.0,7.09,0.373,-74.93
M1M2>-1&TS>0.3 | 中证1000 [OOS],0.0,0.0,0.0,0.0,3.0,2023-01-03,2026-01-30,0.0,0.0,14.72,0.585,-44.24
M1M2>-1|TS>0.3 | 中证1000 [FULL],8.37,0.411,-73.34,0.114,11.2,2014-06-19,2026-01-30,90.3,26.0,9.06,0.428,-74.93
M1M2>-1|TS>0.3 | 中证1000 [IS],7.76,0.393,-73.34,0.106,8.3,2014-06-19,2022-12-30,96.2,14.0,7.09,0.373,-74.93
