strategy,cagr,sharpe,mdd,calmar,years,start,end,pct_in_market,trades,bh_cagr,bh_sharpe,bh_mdd
10Y<MA60 | 沪深300 [IS],1.18,0.155,-44.04,0.027,10.6,2012-01-05,2022-12-30,52.8,59.0,5.04,0.332,-46.7
10Y<MA60 | 沪深300 [OOS],1.83,0.205,-18.29,0.1,3.1,2023-01-03,2026-03-24,67.2,22.0,4.8,0.361,-24.8
10Y<MA120 | 沪深300 [FULL],2.24,0.215,-42.03,0.053,13.7,2012-01-05,2026-03-24,59.9,54.0,4.99,0.335,-46.7
10Y<MA120 | 沪深300 [IS],2.88,0.249,-38.22,0.075,10.6,2012-01-05,2022-12-30,57.1,46.0,5.04,0.332,-46.7
10Y<MA120 | 沪深300 [OOS],0.07,0.08,-18.0,0.004,3.1,2023-01-03,2026-03-24,69.4,8.0,4.8,0.361,-24.8
10Y<MA250 | 沪深300 [FULL],3.29,0.267,-55.32,0.06,13.7,2012-01-05,2026-03-24,65.9,29.0,4.99,0.335,-46.7
10Y<MA250 | 沪深300 [IS],3.42,0.27,-51.21,0.067,10.6,2012-01-05,2022-12-30,63.8,27.0,5.04,0.332,-46.7
10Y<MA250 | 沪深300 [OOS],2.86,0.262,-22.24,0.129,3.1,2023-01-03,2026-03-24,73.0,2.0,4.8,0.361,-24.8
M1M2>-1&TS>0.3 | 沪深300 [FULL],0.51,0.105,-26.39,0.019,13.6,2012-01-05,2026-01-30,13.2,13.0,5.42,0.354,-46.7
M1M2>-1&TS>0.3 | 沪深300 [IS],0.66,0.119,-26.39,0.025,10.6,2012-01-05,2022-12-30,16.9,13.0,5.04,0.332,-46.7
M1M2>-1&TS>0.3 | 沪深300 [OOS],0.0,0.0,0.0,0.0,3.0,2023-01-03,2026-01-30,0.0,0.0,6.81,0.474,-24.8
M1M2>-1|TS>0.3 | 沪深300 [FULL],5.49,0.364,-46.7,0.118,13.6,2012-01-05,2026-01-30,88.7,33.0,5.42,0.354,-46.7
M1M2>-1|TS>0.3 | 沪深300 [IS],5.51,0.356,-46.7,0.118,10.6,2012-01-05,2022-12-30,92.9,21.0,5.04,0.332,-46.7
M1M2>-1|TS>0.3 | 沪深300 [OOS],5.45,0.426,-24.89,0.219,3.0,2023-01-03,2026-01-30,73.9,12.0,6.81,0.474,-24.8
M1M2>-1&TS>0.5 | 沪深300 [FULL],1.74,0.527,-4.98,0.349,13.6,2012-01-05,2026-01-30,3.9,19.0,5.42,0.354,-46.7
M1M2>-1&TS>0.5 | 沪深300 [IS],2.23,0.596,-4.98,0.448,10.6,2012-01-05,2022-12-30,4.9,19.0,5.04,0.332,-46.7
M1M2>-1&TS>0.5 | 沪深300 [OOS],0.0,0.0,0.0,0.0,3.0,2023-01-03,2026-01-30,0.0,0.0,6.81,0.474,-24.8
M1M2>-1|TS>0.5 | 沪深300 [FULL],-1.31,0.007,-55.19,-0.024,13.6,2012-01-05,2026-01-30,50.5,61.0,5.42,0.354,-46.7
M1M2>-1|TS>0.5 | 沪深300 [IS],-2.37,-0.04,-55.19,-0.043,10.6,2012-01-05,2022-12-30,58.0,50.0,5.04,0.332,-46.7
M1M2>-1|TS>0.5 | 沪深300 [OOS],2.57,0.281,-15.04,0.171,3.0,2023-01-03,2026-01-30,23.4,11.0,6.81,0.474,-24.8
M1M2>0&TS>0.3 | 沪深300 [FULL],0.66,0.128,-26.39,0.025,13.6,2012-01-05,2026-01-30,11.7,8.0,5.42,0.354,-46.7
M1M2>0&TS>0.3 | 沪深300 [IS],0.85,0.145,-26.39,0.032,10.6,2012-01-05,2022-12-30,15.0,8.0,5.04,0.332,-46.7
M1M2>0&TS>0.3 | 沪深300 [OOS],0.0,0.0,0.0,0.0,3.0,2023-01-03,2026-01-30,0.0,0.0,6.81,0.474,-24.8
M1M2>0|TS>0.3 | 沪深300 [FULL],5.19,0.351,-46.7,0.111,13.6,2012-01-05,2026-01-30,88.0,35.0,5.42,0.354,-46.7
M1M2>0|TS>0.3 | 沪深300 [IS],5.12,0.34,-46.7,0.11,10.6,2012-01-05,2022-12-30,92.0,23.0,5.04,0.332,-46.7
M1M2>0|TS>0.3 | 沪深300 [OOS],5.45,0.426,-24.89,0.219,3.0,2023-01-03,2026-01-30,73.9,12.0,6.81,0.474,-24.8
M1M2>0&TS>0.5 | 沪深300 [FULL],1.13,0.401,-4.98,0.227,13.6,2012-01-05,2026-01-30,3.3,18.0,5.42,0.354,-46.7
M1M2>0&TS>0.5 | 沪深300 [IS],1.45,0.454,-4.98,0.291,10.6,2012-01-05,2022-12-30,4.2,18.0,5.04,0.332,-46.7
M1M2>0&TS>0.5 | 沪深300 [OOS],0.0,0.0,0.0,0.0,3.0,2023-01-03,2026-01-30,0.0,0.0,6.81,0.474,-24.8
M1M2>0|TS>0.5 | 沪深300 [FULL],-0.85,0.032,-51.25,-0.017,13.6,2012-01-05,2026-01-30,48.8,59.0,5.42,0.354,-46.7
M1M2>0|TS>0.5 | 沪深300 [IS],-1.79,-0.012,-51.25,-0.035,10.6,2012-01-05,2022-12-30,55.9,48.0,5.04,0.332,-46.7
M1M2>0|TS>0.5 | 沪深300 [OOS],2.57,0.281,-15.04,0.171,3.0,2023-01-03,2026-01-30,23.4,11.0,6.81,0.474,-24.8
M1M2>1&TS>0.3 | 沪深300 [FULL],0.27,0.074,-26.39,0.01,13.6,2012-01-05,2026-01-30,11.2,8.0,5.42,0.354,-46.7
M1M2>1&TS>0.3 | 沪深300 [IS],0.35,0.084,-26.39,0.013,10.6,2012-01-05,2022-12-30,14.4,8.0,5.04,0.332,-46.7
M1M2>1&TS>0.3 | 沪深300 [OOS],0.0,0.0,0.0,0.0,3.0,2023-01-03,2026-01-30,0.0,0.0,6.81,0.474,-24.8
M1M2>1|TS>0.3 | 沪深300 [FULL],5.19,0.351,-46.7,0.111,13.6,2012-01-05,2026-01-30,88.0,35.0,5.42,0.354,-46.7
M1M2>1|TS>0.3 | 沪深300 [IS],5.12,0.34,-46.7,0.11,10.6,2012-01-05,2022-12-30,92.0,23.0,5.04,0.332,-46.7
M1M2>1|TS>0.3 | 沪深300 [OOS],5.45,0.426,-24.89,0.219,3.0,2023-01-03,2026-01-30,73.9,12.0,6.81,0.474,-24.8
M1M2>1&TS>0.5 | 沪深300 [FULL],0.95,0.363,-4.98,0.192,13.6,2012-01-05,2026-01-30,3.1,16.0,5.42,0.354,-46.7
M1M2>1&TS>0.5 | 沪深300 [IS],1.22,0.411,-4.98,0.245,10.6,2012-01-05,2022-12-30,4.0,16.0,5.04,0.332,-46.7
M1M2>1&TS>0.5 | 沪深300 [OOS],0.0,0.0,0.0,0.0,3.0,2023-01-03,2026-01-30,0.0,0.0,6.81,0.474,-24.8
M1M2>1|TS>0.5 | 沪深300 [FULL],-1.05,0.019,-52.57,-0.02,13.6,2012-01-05,2026-01-30,48.5,60.0,5.42,0.354,-46.7
M1M2>1|TS>0.5 | 沪深300 [IS],-2.04,-0.027,-52.57,-0.039,10.6,2012-01-05,2022-12-30,55.5,49.0,5.04,0.332,-46.7
M1M2>1|TS>0.5 | 沪深300 [OOS],2.57,0.281,-15.04,0.171,3.0,2023-01-03,2026-01-30,23.4,11.0,6.81,0.474,-24.8
M1M2_Up&10Y<MA60 | 沪深300 [FULL],1.55,0.189,-33.54,0.046,13.6,2012-01-05,2026-01-30,26.6,49.0,5.42,0.354,-46.7
M1M2_Up&10Y<MA60 | 沪深300 [IS],1.07,0.148,-33.54,0.032,10.6,2012-01-05,2022-12-30,25.1,40.0,5.04,0.332,-46.7
