index,direction,is_sharpe,oos_sharpe,oos_trades,oos_pass_5trades,oos_pass_any
科创50,dip,0.506071790137052,0.084601415825418,10,True,True
科创50,dip,0.6825764332654278,-0.1550471336926557,10,False,False
科创50,dip,0.6825764332654278,0.14971535449800855,10,True,True
科创50,dip,0.6747491421701736,0.3440259578900722,9,True,True
科创50,dip,0.5126299069587639,0.07640191997089646,10,True,True
科创50,dip,0.5126299069587639,0.34527856223163633,10,True,True
科创50,dip,0.687180543347723,0.2144482997766408,9,True,True
科创50,dip,0.692139469010012,-0.1301236031746641,10,False,False
科创50,dip,0.692139469010012,0.2237686770045873,10,True,True
科创50,dip,0.7281788712791798,0.11426356432367124,9,True,True
科创50,dip,0.5136223036375397,-0.01470642759155112,10,False,False
科创50,dip,0.763397819502693,-0.27629529225427474,10,False,False
科创50,dip,0.763397819502693,0.10148365335763955,10,True,True
科创50,dip,0.7373958297505043,0.21265360814040946,9,True,True
科创50,dip,0.7503030150749617,-0.3121774653157879,10,False,False
科创50,dip,0.7503030150749617,0.16610288611113705,10,True,True
科创50,dip,0.7367355511948926,0.19777518798119745,8,True,True
科创50,dip,0.5235926807789356,0.06666803108200126,9,True,True
科创50,dip,0.7420398225362342,-0.2817147786391029,9,False,False
科创50,dip,0.7420398225362342,0.17100750652642338,9,True,True
科创50,dip,0.6722765058126852,0.24287751570937077,8,True,True
科创50,dip,0.5512581361041672,0.07858621202600664,9,True,True
科创50,dip,0.7184060054391237,-0.2824618039914964,9,False,False
科创50,dip,0.7184060054391237,0.18210616242185573,9,True,True
科创50,dip,0.6091689761562613,-0.15460608402628057,8,False,False
科创50,dip,0.6104547975101463,-0.4346056592491672,9,False,False
科创50,dip,0.6104547975101463,-0.23409335956978666,9,False,False
科创50,dip,0.9410947679567855,-0.3487754572256026,7,False,False
科创50,dip,0.7688490309379926,-0.08980126829764462,9,False,False
科创50,dip,0.8817198118125505,-0.43572386547550596,9,False,False
科创50,dip,0.8817198118125505,-0.3223552560156639,9,False,False
科创50,dip,0.8816720153321966,-0.2716713450346356,7,False,False
科创50,dip,0.6689378729832208,-0.09609798603715258,9,False,False
科创50,dip,0.8858521405015515,-0.43519231556634425,9,False,False
科创50,dip,0.8858521405015515,-0.33590669729595457,9,False,False
科创50,dip,0.8704303022244861,-0.21476812501551606,7,False,False
科创50,dip,0.6428137816572628,-0.1827450998471582,9,False,False
科创50,dip,0.972896085164996,-0.5136755128940658,9,False,False
科创50,dip,0.972896085164996,-0.29216388837121016,9,False,False
科创50,dip,0.8140433335790511,-0.316497205707709,7,False,False
科创50,dip,0.5622456962770729,-0.23506615480185175,9,False,False
科创50,dip,0.8955587937185892,-0.5630598748360295,9,False,False
科创50,dip,0.8955587937185892,-0.3867198168083682,9,False,False
科创50,dip,0.7527136717412296,-0.20682620374454772,7,False,False
科创50,dip,0.5952786550924359,-0.13573720173327716,9,False,False
科创50,dip,0.9278314449591527,-0.4620622608335006,9,False,False
科创50,dip,0.9278314449591527,-0.2963820874595728,9,False,False
科创50,dip,1.0404883803691272,-0.24385423018269164,7,False,False
科创50,dip,0.7304510572598778,-0.12224732580155176,9,False,False
科创50,dip,1.0325792501934188,-0.37225094069249576,9,False,False
科创50,dip,1.0325792501934188,-0.30703413785321154,9,False,False
科创50,dip,1.0419729068261854,-0.22394211895041163,6,False,False
科创50,dip,0.6870716908751039,-0.13988348998805794,9,False,False
科创50,dip,1.0241868323658534,-0.3895564218360575,9,False,False
科创50,dip,1.0241868323658534,-0.3509376226220155,8,False,False
科创50,dip,1.141465389993516,-0.24602940778106003,6,False,False
科创50,dip,0.7605463732332278,-0.13345945456732314,9,False,False
科创50,dip,1.0546267771421758,-0.39247624768140754,9,False,False
科创50,dip,1.0546267771421758,-0.35901910391319364,8,False,False
科创50,dip,1.1268131245914486,-0.22244596252461585,6,False,False
科创50,dip,0.7438127645865822,-0.18839676861094629,9,False,False
科创50,dip,1.0362692157613678,-0.47139324232723734,9,False,False
科创50,dip,1.0362692157613678,-0.3256810646970066,8,False,False
科创50,dip,1.0736344979474612,-0.25783958150002473,6,False,False
科创50,dip,0.6658171768490309,-0.22559465976318258,9,False,False
科创50,dip,0.9888801988164968,-0.49954571196124037,9,False,False
科创50,dip,0.9888801988164968,-0.3574245969503231,8,False,False
科创50,dip,0.6057679168732408,-0.2266220510634156,6,False,False
科创50,dip,0.5357008844394919,-0.4666463145021472,9,False,False
科创50,dip,0.5357008844394919,-0.347454055353818,8,False,False
科创50,dip,0.7013879885699087,-0.21572813571673122,6,False,False
科创50,dip,0.599231728529213,-0.2891561354309338,9,False,False
科创50,dip,0.647066579863084,-0.4881895817139137,9,False,False
科创50,dip,0.647066579863084,-0.34042208304050464,8,False,False
科创50,dip,0.6113520978537993,-0.2548492132342191,6,False,False
科创50,dip,0.5491305177187716,-0.27160208794472773,9,False,False
科创50,dip,0.595966591700601,-0.5224684919564582,9,False,False
科创50,dip,0.595966591700601,-0.3471342520327615,8,False,False
科创50,dip,0.5643508477088786,-0.22067594359848855,6,False,False
科创50,dip,0.5301202084468098,-0.15577662393531522,9,False,False
科创50,dip,0.5626011534645364,-0.38722561558800456,9,False,False
科创50,dip,0.5626011534645364,-0.2713253606352266,8,False,False
科创50,dip,0.7473995302511814,-0.3083357810524127,6,False,False
科创50,dip,0.6773745626903351,-0.20428092804587622,9,False,False
科创50,dip,0.634625619983224,-0.40588968163622924,9,False,False
科创50,dip,0.634625619983224,-0.27850739408976305,8,False,False
科创50,dip,0.7782627032504323,-0.35218162245728213,6,False,False
科创50,dip,0.7138925762938194,-0.27703199840565845,9,False,False
科创50,dip,0.6746495780831898,-0.4756604198330267,9,False,False
科创50,dip,0.6746495780831898,-0.35406079483772634,8,False,False
科创50,dip,0.8605757754726211,-0.2565072621038103,6,False,False
科创50,dip,0.7460087036358807,-0.29704622127129304,9,False,False
科创50,dip,0.7223202363532663,-0.5166128275913797,9,False,False
科创50,dip,0.7223202363532663,-0.35473194540995273,8,False,False
科创50,dip,0.7186712535066668,-0.24105595276212333,6,False,False
科创50,dip,0.6277759682902468,-0.2676634973061887,9,False,False
科创50,dip,0.6139900695580847,-0.46702451032840825,9,False,False
科创50,dip,0.6139900695580847,-0.33956289654998706,8,False,False
科创50,dip,0.8045333980219779,-0.21026953841554297,6,False,False
科创50,dip,0.7323947061071145,-0.3468881123296192,9,False,False
科创50,dip,0.8045333980219779,-0.5856325599117093,9,False,False
科创50,dip,0.8045333980219779,-0.3926535506610879,8,False,False
科创50,dip,0.8408025132332133,-0.15978422683905502,6,False,False
科创50,dip,0.7345839860410066,-0.36565518458140234,9,False,False
科创50,dip,0.8408025132332133,-0.5314119938132402,9,False,False
科创50,dip,0.8408025132332133,-0.4455541922848577,8,False,False
科创50,dip,0.8919670049905442,0.13936241954266612,6,True,True
科创50,dip,0.7976755055867546,-0.37845310278919814,9,False,False
科创50,dip,0.8919670049905442,-0.4722202426871491,9,False,False
科创50,dip,0.8919670049905442,-0.48265495556075605,8,False,False
科创50,dip,0.8486300652223807,0.32965255750776346,6,True,True
科创50,dip,0.7478088521098036,-0.38903748329627286,9,False,False
